Temperature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorous,Season,Region,Crop Type
22.0,58.6,46.5,Loamy,48,27,23,Rabi,South,Wheat
38.0,62.6,47.7,Red,31,28,6,Zaid,North,Tobacco
18.1,65.4,35.4,Alluvial,21,48,26,Rabi,East,Sugarcane
18.1,60.2,35.7,Black,51,20,32,Rabi,Central,Millets
34.5,48.7,25.2,Red,12,55,41,Zaid,Central,Ground Nuts
34.5,69.7,59.1,Black,27,29,8,Kharif,South,Cotton
17.6,57.1,34.0,Clayey,16,12,48,Rabi,South,Barley
35.6,83.2,27.8,Sandy,11,58,10,Kharif,West,Maize
14.7,62.0,47.4,Clayey,17,27,18,Rabi,Central,Barley
20.7,65.6,40.3,Red,30,49,20,Rabi,West,Pulses
23.1,54.6,26.5,Clayey,54,33,45,Rabi,North,Barley
27.4,80.8,48.9,Sandy,44,37,39,Kharif,Central,Rice
22.8,61.7,46.6,Clayey,18,16,12,Rabi,East,Pulses
35.5,46.2,38.1,Black,32,41,28,Zaid,West,Millets
36.6,60.8,39.3,Clayey,46,7,18,Zaid,Central,Tobacco
24.0,63.6,55.4,Sandy,23,31,43,Rabi,West,Pulses
29.8,56.6,40.9,Alluvial,41,34,8,Zaid,South,Rice
34.4,52.4,29.7,Red,24,33,47,Zaid,West,Millets
33.4,46.0,49.2,Red,37,48,48,Zaid,East,Ground Nuts
35.7,57.7,37.9,Loamy,37,43,29,Zaid,East,Tobacco
34.5,53.7,26.5,Sandy,15,31,12,Zaid,Central,Millets
15.9,45.8,35.8,Alluvial,51,28,48,Rabi,North,Wheat
34.7,53.2,58.9,Clayey,58,43,16,Zaid,West,Millets
20.7,40.8,39.7,Red,58,53,21,Rabi,East,Barley
29.8,78.4,39.2,Black,10,6,23,Kharif,East,Millets
34.5,30.0,54.8,Alluvial,15,59,36,Zaid,East,Wheat
24.6,67.5,47.9,Red,33,56,9,Rabi,East,Pulses
33.2,49.6,42.2,Sandy,57,37,20,Zaid,West,Tobacco
20.1,48.0,47.9,Clayey,45,30,23,Rabi,Central,Pulses
31.3,59.5,40.7,Loamy,41,56,11,Kharif,South,Maize
19.4,66.2,52.5,Red,20,29,32,Rabi,Central,Barley
30.2,77.1,25.6,Sandy,51,11,39,Kharif,North,Rice
37.1,54.2,53.6,Black,11,52,5,Zaid,Central,Millets
37.6,75.6,45.0,Alluvial,41,45,13,Kharif,South,Rice
25.2,51.3,46.2,Red,20,40,12,Rabi,East,Wheat
37.4,51.8,48.5,Alluvial,44,39,29,Zaid,Central,Wheat
19.4,40.7,41.5,Red,45,8,37,Rabi,North,Pulses
19.9,52.5,28.7,Loamy,29,11,12,Rabi,South,Barley
16.2,71.0,46.3,Black,31,50,26,Rabi,South,Cotton
39.2,78.2,40.6,Sandy,17,31,31,Kharif,South,Oil seeds
30.0,89.5,37.4,Sandy,14,8,23,Kharif,Central,Rice
40.4,50.3,38.6,Alluvial,26,32,48,Zaid,Central,Sugarcane
31.4,48.1,43.3,Clayey,46,33,28,Zaid,Central,Tobacco
22.0,64.7,39.3,Alluvial,44,56,37,Rabi,North,Wheat
